,Jean-Louis Destans,Jean-Paul Bacquet,Carlos Da Silva,Patrick Balkany,Olivier Dassault,Patrick Devedjian,Denis Jacquat,Christian Kert,Marc Laffineur,Pierre Lequiller,Jean-François Mancel,Alain Marleix,Patrick Ollier,Jean-Luc Reitzer,Michel Terrot,Michel Voisin,Nicole Ameline,Dominique Bussereau,Marc-Philippe Daubresse,Camille de Rocca Serra,Guénhaël Huet,Gilles Lurton,Éric Ciotti,Philippe Briand,Gérard Cherpion,François Cornut-Gentille,Lucien Degauchy,Alain Gest,Jean-Jacques Guillet,Philippe Houillon,Patrick Labaune,Marc Le Fur,Pierre Lellouche,Thierry Mariani,Alain Marsaud,Philippe Armand Martin,Patrice Martin-Lalande,Jacques Myard,Alain Suguenot,François Vannson,Henri Guaino,Philippe Goujon,Gilles Carrez,Isabelle Le Callennec,Benoist Apparu,Christian Jacob,Gérard Menuel,Jean-François Copé,Catherine Vautrin,Olivier Marleix,Jean-Frédéric Poisson,Yves Fromion,Jean-Claude Guibal,Michel Herbillon,Jean Leonetti,Lionnel Luca,André Schneider,Marie-Jo Zimmermann,Pierre Morel-À-L'Huissier,Bernard Deflesselles,Patrice Verchère,Bernard Brochand,Edouard Philippe,Dominique Tian,Michel Sordi,Céleste Lett,Jean-Pierre Gorges,Luc Chatel,Jean-Marie Sermier,Arlette Grosskost,Michel Heinrich,Bérengère Poletti,Jean-Pierre Door,Dominique Le Mèner,Antoine Herth,Jean-Louis Christ,Geneviève Levy,Philippe Vitel,Martial Saddier,Alain Marty,Georges Fenech,Josette Pons,Christophe Priou,Édouard Courtial,Jean-Pierre Decool,Michèle Tabarot,Guy Geoffroy,Jacques Alain Bénisti,Jérôme Chartier,Serge Grouard,Jean-Claude Mathis,François Scellier,Jean-Charles Taugourdeau,Jean-Sébastien Vialatte,Frédéric Reiss,Marc Francina,Charles-Ange Ginesy,Jacques Lamblin,Olivier Carré,Daniel Fasquelle,Nicolas Dhuicq,Lionel Tardy,Jean-Claude Bouchet,Yves Albarello,Éric Straumann,Marie-Louise Fort,Jean-François Lamour,Philippe Gosselin,Marie-Christine Dalloz,Bruno Le Maire,Laure de La Raudière,Rémi Delatte,Bernard Reynès,Sauveur Gandolfi-Scheit,Marianne Dubois,Arnaud Robinet,Fernand Siré,Paul Salen,Laurent Furst,Yves Foulon,Jean-Pierre Barbier,Jean-Pierre Vigier,Philippe Le Ray,Véronique Louwagie,Alain Chrétien,Dominique Nachury,Patrick Hetzel,Claude Sturni,Sophie Dion,François de Mazières,Valérie Lacroute,Alain Leboeuf,Jean-Marie Tétart,Guillaume Larrivé,Guillaume Chevrollier,Sophie Rohfritsch,Claudine Schmid,Sylvain Berrios,Jean-Louis Costes,Arnaud Viala,Julien Dive,Vincent Ledoux,Pascal Thévenot,Marine Brenier,Hervé Morin,François Rochebloine,Rudy Salles,André Santini,Yannick Favennec Becot,Jean-Christophe Lagarde,Charles de Courson,François Sauvadet,Arnaud Richard,Maurice Leroy,Francis Hillmeyer,Stéphane Demilly,Michel Zumkeller,Michel Piron,Francis Vercamer,Philippe Folliot,François-Xavier Villain,Yves Jégo,Philippe Vigier,Bertrand Pancher,Franck Reynier,Thierry Benoit,Sonia Lagarde,Philippe Gomès,Meyer Habib,Laurent Degallaix,Maina Sage,Patrick Weiten,Jean Lassalle,Jean-Christophe Fromantin,Thierry Robert,François Asensi,Alain Bocquet,Marc Dolez,Marie-George Buffet,Patrice Carvalho,Alfred Marie-Jeanne,Nicolas Sansu,Jean-Philippe Nilor,André Chassaigne,Jean-Jacques Candelier,Gaby Charroux,Bruno Nestor Azerot,Gabriel Serville,Gérard Bapt,Christian Bataille,Patrick Bloche,Jean-Christophe Cambadélis,Laurent Cathala,Guy-Michel Chauveau,Michel Destot,Jean-Louis Dumont,Yves Durand,Michel Françaix,Jean-Luc Laurent,Gilbert Le Bris,Jean-Yves Le Déaut,René Rouquet,Michel Vauzelle,François Lamy,Marylise Lebranchu,Yves Goasdoué,Frédérique Massat,Vincent Burroni,Luce Pane,Gisèle Biémouret,Laurent Baumel,Jean Glavany,Guillaume Garot,Éric Jalton,Michel Pajon,Marie-Arlette Carlotti,Dominique Baert,Jean-Pierre Blazy,Daniel Boisserie,Alain Claeys,Jean-Pierre Dufau,Jean-Paul Dupré,Christian Franqueville,Yann Galut,Françoise Imbert,Conchita Lacuey,Bruno Le Roux,Michel Liebgott,Martine Lignières-Cassou,Philippe Nauche,Christian Paul,Jean-Claude Perez,Geneviève Gaillard,Marie-Line Reynaud,Bernard Roman,Odile Saugues,Pascal Terrasse,Fabrice Verdier,Patrick Lemasle,Sylviane Alaux,Richard Ferrand,Yann Capet,Corinne Erhel,Christophe Léonard,Erwann Binet,Christophe Sirugue,Jean-Claude Fruteau,Nicolas Bays,Philippe Baumel,Dominique Raimbourg,Kléber Mesquida,Patricia Adam,Jean-Yves Le Bouillonnec,Gabrielle Louis-Carabin,David Habib,Gwendal Rouillard,William Dumas,Jean-Louis Bricout,Aurélie Filippetti,Hervé Féron,Martine Martinel,Monique Iborra,Michel Issindou,Pascal Deguilhem,Christian Hutin,Guy Chambefort,Olivier Dussopt,Daniel Goldberg,Marietta Karamanli,Valérie Fourneyron,Marc Goua,Catherine Coutelle,Sandrine Mazetier,Pierre-Alain Muet,Jean-Louis Touraine,Jean Grellier,Christophe Bouillon,Martine Faure,Pascale Crozon,Catherine Quéré,Marie-Odile Bouillé,Catherine Lemorton,Jean-Patrick Gille,Marie-Lou Marcel,Serge Letchimy,Chantal Berthelot,Henri Jibrayel,Philippe Plisson,Régis Juanico,Jean-Louis Gagnaire,Annick Le Loch,Jean-René Marsac,Michel Ménard,Olivier Faure,François Pupponi,Colette Langlade,Marie-Noëlle Battistel,Marie-Françoise Bechtel,Gilbert Sauvan,Christophe Castaner,Karine Berger,Jean-David Ciot,Sabine Buis,Patrick Mennucci,Suzanne Tallard,Viviane Le Dissez,Annie Le Houerou,Laurent Grandguillaume,Alain Calmette,Nathalie Nieson,Chantal Guittet,Frédéric Roig,Marie Récalde,Florent Boudié,Christophe Borgel,Joëlle Huillier,Denys Robiliard,Marie-Anne Chapdelaine,Nathalie Appéré,François André,Isabelle Bruneau,Valérie Corre,Luc Belot,Sophie Errante,Hervé Pellois,Jean-Pierre Le Roch,Paul Molac,Chaynesse Khirouni,Jean-Pierre Allossery,Anne-Lise Dufour-Tonini,Laurent Kalinowski,Paola Zanetti,Audrey Linkenheld,Rémi Pauvros,Jacques Cresta,Pierre Aylagas,Christine Pires Beaune,Nathalie Chabanne,Yves Blein,Edith Gueugneau,Pascal Cherki,Françoise Dubois,Bernadette Laclais,Catherine Troallic,Eduardo Rihan Cypel,Sylviane Bulteau,Linda Gourjade,Michèle Fournier-Armand,Malek Boutih,Maud Olivier,Véronique Massonneau,Catherine Beaubatie,Jean-Jacques Bridey,Julie Sommaruga,Razzy Hammadi,Pascal Popelin,Serge Bardy,Philippe Bies,Philippe Kemel,Emeric Bréhier,Jean-Claude Buisine,Sébastien Pietrasanta,Dominique Lefebvre,Jean-Marc Germain,Monique Orphé,Michel Pouzol,Ibrahim Aboubacar,Joaquim Pueyo,Colette Capdevielle,Philippe Doucet,Pierre-Yves Le Borgn',Sylvie Tolmont,Frédéric Barbier,Fanélie Carrey-Conte,Florence Delaunay,Napole Polutele,Delphine Batho,Robert Olive,Christophe Premat,Jean-Marc Fournel,Romain Colas,Pascal Demarthe,Régine Povéda,Guy Bailliart,David Comet,Pierre Ribeaud,Marie Le Vern,Marie-Thérèse Le Roy,Philippe Naillet,Jacques Dellerie,Renaud Gauquelin,Romain Joron,Thomas Thévenoud,Roger-Gérard Schwartzenberg,Gérard Charasse,Paul Giacobbi,Dominique Orliac,Sylvia Pinel,Jeanine Dubié,Ary Chalus,Marie-Françoise Clergeau,Barbara Romagnan,Gérard Sebaoun,Karine Daniel,Jérôme Lambert,Stéphane Saint-André,Alain Tourret,Joël Giraud,Jean-Noël Carpentier,Jean-Pierre Maggi,Claude Bartolone
Olivier Carré,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Fasquelle,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Dhuicq,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lionel Tardy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Claude Bouchet,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yves Albarello,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Éric Straumann,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marie-Louise Fort,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-François Lamour,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippe Gosselin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marie-Christine Dalloz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
